,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
34,AWS,nathanpeck,820.0,0,3,0,0,0,3,3,3,0,596
35,AWS,leopd,183.0,0,2,0,0,0,2,2,2,0,910
36,AWS,BigLep,13.0,0,2,0,0,0,2,2,2,0,356
37,AWS,chriszheng10,0.0,0,1,0,0,0,1,1,1,0,0
38,AWS,zarandioon,1.0,0,3,0,0,0,3,3,3,0,0
39,AWS,romerocesar,19.0,0,1,0,0,0,1,1,1,0,0
40,AWS,keerthy411,,0,0,0,0,0,0,0,0,0,0
41,AWS,MarkAtwood,,0,0,0,0,0,0,0,0,0,0
42,AWS,pfifer,29.0,0,2,0,0,0,2,2,2,0,13
43,AWS,mwunderl,79.0,0,10,0,0,4,14,10,14,0,1270
44,AWS,glez-aws,4.0,0,6,0,0,0,6,6,6,0,61
45,AWS,nikhil-dabhade,15.0,0,8,0,0,0,8,8,8,0,1320
46,AWS,ahawker,103.0,0,6,0,0,0,6,6,6,0,91
47,AWS,appwiz,146.0,0,3,0,0,1,4,3,4,0,124
48,AWS,scottgoldwater,,0,0,0,0,0,0,0,0,0,124
49,AWS,bradley-curran,10.0,0,1,0,0,0,1,1,1,0,0
50,AWS,sapessi,81.0,0,2,0,0,0,2,2,2,0,108
51,AWS,hyandell,225.0,0,2,0,0,0,2,2,2,0,0
52,AWS,srisub-amzn,1.0,0,1,0,0,0,1,1,1,0,0
53,AWS,rjvgupta,7.0,0,5,0,0,6,11,5,11,0,739
54,AWS,IanMeyers,52.0,0,5,0,0,0,5,5,5,0,1052
55,AWS,zach-data,9.0,0,1,0,0,0,1,1,1,0,0
56,AWS,jbraeuer,28.0,0,3,0,0,0,3,3,3,0,248
57,AWS,georgmao,22.0,0,5,0,0,0,5,5,5,0,793
58,AWS,gthuang,0.0,0,1,0,0,0,1,1,1,0,0
59,AWS,aaronkao,,0,0,0,0,0,0,0,0,0,0
60,AWS,teknogeek0,128.0,0,11,0,0,19,30,11,30,0,1864
61,AWS,melwin,,0,0,0,0,0,0,0,0,0,1864
62,AWS,waleoladehin,,0,0,0,0,0,0,0,0,0,1864
63,AWS,awood45,275.0,0,1,0,0,0,1,1,1,0,0
64,AWS,dgomesbr,83.0,0,16,0,0,3,19,16,19,0,866
65,AWS,mikeapted,13.0,0,24,0,0,6,30,24,30,0,654
66,AWS,samdengler,42.0,0,13,0,0,2,15,13,15,0,1386
67,AWS,bdoncaster,0.0,0,2,0,0,2,4,2,4,0,0
68,AWS,jbnunn,,0,0,0,0,0,0,0,0,0,0
69,AWS,jasdel,155.0,0,3,0,0,1,4,3,4,0,267
70,AWS,julienlepine,6.0,0,16,0,0,0,16,16,16,0,1091
71,AWS,baldwinmatt,81.0,0,14,0,0,2,16,14,16,0,1693
72,AWS,imperalix,1.0,0,1,0,0,0,1,1,1,0,0
73,AWS,kyleknap,167.0,0,1,0,0,0,1,1,1,0,0
74,AWS,jamesls,520.0,0,5,0,0,4,9,5,9,0,1557
75,AWS,zoltak,2.0,0,1,0,0,0,1,1,1,0,0
76,AWS,sunilmallya,55.0,0,3,0,0,0,3,3,3,0,846
77,AWS,emcfins,2.0,0,1,0,0,0,1,1,1,0,0
78,AWS,seajoshc,13.0,0,3,0,0,1,4,3,4,0,62
79,AWS,katem7368,,0,0,0,0,0,0,0,0,0,62
80,AWS,jicowan,49.0,0,25,0,0,1,26,25,26,0,1999
81,AWS,PaulMaddox,163.0,0,26,0,0,11,37,26,37,0,705
82,AWS,emurray1000,0.0,0,4,0,0,0,4,4,4,0,0
83,AWS,kyarosh,1.0,0,1,0,0,0,1,1,1,0,0
84,AWS,diegonat,1.0,0,3,0,0,3,6,3,6,0,583
85,AWS,asifamz,4.0,0,7,0,0,0,7,7,7,0,301
86,AWS,bls20AWS,36.0,0,37,0,0,0,37,37,37,0,506
87,AWS,rts-rob,43.0,0,3,0,0,2,5,3,5,0,200
88,AWS,angelarw,47.0,0,22,0,0,3,25,22,25,0,1205
89,AWS,mikedeck,11.0,0,25,0,0,9,34,25,34,0,825
90,AWS,justonian,17.0,0,6,0,0,0,6,6,6,0,207
91,AWS,Doug-AWS,58.0,0,6,0,0,0,6,6,6,0,698
92,AWS,heitorlessa,213.0,0,21,0,0,7,27,21,27,0,1342
93,AWS,schallis,,0,0,0,0,0,0,0,0,0,1342
94,AWS,atomicaws,0.0,0,0,0,0,1,1,0,1,0,1342
95,AWS,schmutze,60.0,0,1,0,0,1,2,1,2,0,841
96,AWS,rajput-jitendra,,0,0,0,0,0,0,0,0,0,841
97,AWS,olivierklein,4.0,0,1,0,0,0,1,1,1,0,0
98,AWS,willarmiros,,0,0,0,0,0,0,0,0,0,0
99,AWS,lupengamzn,,0,0,0,0,0,0,0,0,0,0
100,AWS,yogiraj07,9.0,0,2,0,0,0,2,2,2,0,0
101,AWS,yishengl,0.0,0,1,0,0,0,1,1,1,0,0
102,AWS,rabowskyb,9.0,0,13,0,0,1,14,13,14,0,1735
103,AWS,itzhapaz,0.0,0,1,0,0,0,1,1,1,0,0
104,AWS,stilvoid,71.0,0,1,0,0,1,2,1,2,0,215
105,AWS,mperi,8.0,0,2,0,0,0,2,2,2,0,324
106,AWS,rnzsgh,22.0,0,11,0,0,1,12,11,12,0,368
107,AWS,john,,0,0,0,0,0,0,0,0,0,368
108,AWS,isbkch,46.0,0,1,0,0,0,1,1,1,0,0
109,AWS,jkahn117,,0,0,0,0,0,0,0,0,0,0
110,AWS,trenton,4.0,0,2,0,0,0,2,2,2,0,240
111,AWS,taneemtee,9.0,0,1,0,0,0,1,1,1,0,0
112,AWS,nhira,3.0,0,9,0,0,0,9,9,9,0,1107
113,AWS,awwerth,0.0,0,1,0,0,0,1,1,1,0,0
114,AWS,smoell,18.0,0,22,0,0,2,24,22,24,0,1467
115,AWS,sthm,7.0,0,21,0,0,1,22,21,22,0,698
116,AWS,smp,12.0,0,11,0,0,0,11,11,11,0,1476
117,AWS,lmbo-2020,0.0,0,1,0,0,0,1,1,1,0,0
118,AWS,moomindani,31.0,0,16,0,0,5,21,16,21,0,651
119,AWS,delagoya,41.0,0,1,0,0,0,1,1,1,0,0
120,AWS,ajfriedman18,0.0,0,2,0,0,0,2,2,2,0,0
121,AWS,dalbhanj,17.0,0,42,0,0,8,50,42,50,0,1434
122,AWS,anshrma,6.0,0,8,0,0,0,8,8,8,0,1401
123,AWS,awsed,141.0,0,15,0,0,2,17,15,17,0,1426
124,AWS,jpeddicord,,0,0,0,0,0,0,0,0,0,1426
125,AWS,atoa,6.0,0,9,0,0,6,15,9,15,0,1336
126,AWS,bobpskier,6.0,0,5,0,0,3,8,5,8,0,1150
127,AWS,tomjames19,2.0,0,1,0,0,0,1,1,1,0,0
128,AWS,JohnCalhoun,28.0,0,3,0,0,1,4,3,4,0,78
129,AWS,darrylsosborne,11.0,0,11,0,0,3,14,11,14,0,1224
130,AWS,jamesiri,55.0,0,1,0,0,0,1,1,1,0,0
131,AWS,jinspark-lab,,0,0,0,0,0,0,0,0,0,0
132,AWS,bskim,1.0,0,1,0,0,0,1,1,1,0,0
133,AWS,ckassen,86.0,0,7,0,0,0,7,7,7,0,797
134,AWS,buzzsurfr,16.0,0,29,0,0,2,31,29,31,0,1281
135,AWS,christopherhein,206.0,0,34,0,0,2,36,34,36,0,210
136,AWS,arun-gupta,3585.0,0,129,0,0,6,135,129,135,0,633
137,AWS,scottmalkie,,0,0,0,0,0,0,0,0,0,633
138,AWS,brianhammons,5.0,0,10,0,0,1,11,10,11,0,405
