,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
282,Azure,jpflueger,,0,0,0,0,0,0,0,0,0,0
283,Azure,kushagraThapar,12.0,0,3,0,0,0,3,3,3,0,154
284,Azure,ramsessanchez,0.0,0,7,0,0,0,7,7,7,0,0
285,Azure,baywet,98.0,0,24,0,0,0,24,24,24,0,42
286,Azure,fiveisprime,180.0,0,1,0,0,0,1,1,1,0,0
287,Azure,ericmitt,12.0,0,3,0,0,0,3,3,3,0,30
288,Azure,tshaiman,19.0,0,1,0,0,0,1,1,1,0,0
289,Azure,Itnorman,,0,0,0,0,0,0,0,0,0,0
290,Azure,nofaredanoren,2.0,0,2,0,0,0,2,2,2,0,18
291,Azure,fvneerden,,0,0,0,0,0,0,0,0,0,18
292,Azure,uratzmon,,0,0,0,0,0,0,0,0,0,18
293,Azure,sapinderpalsingh,,0,0,0,0,0,0,0,0,0,18
294,Azure,promisinganuj,,0,0,0,0,0,0,0,0,0,18
295,Azure,jmostella,,0,0,0,0,0,0,0,0,0,18
296,Azure,devlace,121.0,0,15,0,0,5,20,15,20,0,676
297,Azure,sinnypan,,0,0,0,0,0,0,0,0,0,676
298,Azure,siliang-j-1225,4.0,0,1,0,0,0,1,1,1,0,0
299,Azure,gary918,,0,0,0,0,0,0,0,0,0,0
300,Azure,shervyna,,0,0,0,0,0,0,0,0,0,0
301,Azure,ydaponte,,0,0,0,0,0,0,0,0,0,0
302,Azure,DavidBurela,,0,0,0,0,0,0,0,0,0,0
303,Azure,satonaoki,,0,0,0,0,0,0,0,0,0,0
304,Azure,Nick287,,0,0,0,0,0,0,0,0,0,0
305,Azure,thurstonchen,,0,0,0,0,0,0,0,0,0,0
306,Azure,swetha-sundar,,0,0,0,0,0,0,0,0,0,0
307,Azure,maye-msft,6.0,0,1,0,0,0,1,1,1,0,0
308,Azure,andrewdyhhub,,0,0,0,0,0,0,0,0,0,0
309,Azure,namitms,,0,0,0,0,0,0,0,0,0,0
310,Azure,jsburckhardt,,0,0,0,0,0,0,0,0,0,0
311,Azure,icchan,,0,0,0,0,0,0,0,0,0,0
312,Azure,akirakakar,,0,0,0,0,0,0,0,0,0,0
313,Azure,NT-D,,0,0,0,0,0,0,0,0,0,0
314,Azure,xinsnake,,0,0,0,0,0,0,0,0,0,0
315,Azure,tomomi-code,,0,0,0,0,0,0,0,0,0,0
316,Azure,Azadehkhojandi,,0,0,0,0,0,0,0,0,0,0
317,Azure,Herman-Wu,,0,0,0,0,0,0,0,0,0,0
318,Azure,deniscep,,0,0,0,0,0,0,0,0,0,0
319,Azure,kiwibayer,,0,0,0,0,0,0,0,0,0,0
320,Azure,hannesne,,0,0,0,0,0,0,0,0,0,0
321,Azure,M-Hietala,,0,0,0,0,0,0,0,0,0,0
322,Azure,jiamguo,,0,0,0,0,0,0,0,0,0,0
323,Azure,singhsaumya,,0,0,0,0,0,0,0,0,0,0
324,Azure,eikim,,0,0,0,0,0,0,0,0,0,0
325,Azure,olmidy,,0,0,0,0,0,0,0,0,0,0
326,Azure,encorona-ms,,0,0,0,0,0,0,0,0,0,0
327,Azure,mswellsi,,0,0,0,0,0,0,0,0,0,0
328,Azure,ovishesh,,0,0,0,0,0,0,0,0,0,0
329,Azure,qfweiwei,,0,0,0,0,0,0,0,0,0,0
330,Azure,splumber,,0,0,0,0,0,0,0,0,0,0
331,Azure,JPalmerDev,,0,0,0,0,0,0,0,0,0,0
332,Azure,cfogg6,,0,0,0,0,0,0,0,0,0,0
333,Azure,trrwilson,,0,0,0,0,0,0,0,0,0,0
334,Azure,BhramaraA,,0,0,0,0,0,0,0,0,0,0
335,Azure,wbreza,,0,0,0,0,0,0,0,0,0,0
336,Azure,mydiemho,,0,0,0,0,0,0,0,0,0,0
337,Azure,alkofahi,,0,0,0,0,0,0,0,0,0,0
338,Azure,Humoiz,,0,0,0,0,0,0,0,0,0,0
339,Azure,michaeldeongreen,,0,0,0,0,0,0,0,0,0,0
340,Azure,aluong,,0,0,0,0,0,0,0,0,0,0
341,Azure,priyaananthasankar,10.0,0,1,0,0,0,1,1,1,0,0
342,Azure,kln4dt,,0,0,0,0,0,0,0,0,0,0
343,Azure,idavis,74.0,0,1,0,0,0,1,1,1,0,0
344,Azure,wduraes,10.0,0,1,0,0,0,1,1,1,0,0
345,Azure,niachary,,0,0,0,0,0,0,0,0,0,0
346,Azure,alkohli,10.0,0,6,0,0,0,6,6,6,0,444
347,Azure,raviprpandey,,0,0,0,0,0,0,0,0,0,444
348,Azure,neerajdixit-msft,,0,0,0,0,0,0,0,0,0,444
349,Azure,vikask77,,0,0,0,0,0,0,0,0,0,444
350,Azure,priestlg,,0,0,0,0,0,0,0,0,0,444
351,Azure,Teodelas,2.0,0,1,0,0,0,1,1,1,0,0
352,Azure,onaim-msft,,0,0,0,0,0,0,0,0,0,0
353,Azure,jasonnutter,60.0,0,4,0,0,0,4,4,4,0,399
354,Azure,fedeoliv,79.0,0,6,0,0,0,6,6,6,0,469
355,Azure,allantargino,91.0,0,5,0,0,3,8,5,8,0,370
356,Azure,sffamily,3.0,0,2,0,0,0,2,2,2,0,7
357,Azure,andxu,27.0,0,1,0,0,0,1,1,1,0,0
358,Azure,Flanker32,16.0,0,0,0,0,1,1,0,1,0,0
359,Azure,N-Usha,35.0,0,1,0,0,0,1,1,1,0,0
360,Azure,SergeyKanzhelev,,0,0,0,0,0,0,0,0,0,0
361,Azure,lzchen,15.0,0,2,0,0,0,2,2,2,0,6
362,Azure,moderakh,,0,0,0,0,0,0,0,0,0,6
363,Azure,iainfoulds,,0,0,0,0,0,0,0,0,0,6
364,Azure,craigshoemaker,338.0,0,7,0,0,0,7,7,7,0,168
365,Azure,paloukari,,0,0,0,0,0,0,0,0,0,168
366,Azure,michielvanschaik,4.0,0,6,0,0,0,6,6,6,0,341
367,Azure,myamama,,0,0,0,0,0,0,0,0,0,341
368,Azure,katriendg,,0,0,0,0,0,0,0,0,0,341
369,Azure,vslepakov,,0,0,0,0,0,0,0,0,0,341
