sample,tempo para fechamento,tempo merge,closed_count,merged_count,not_merged_count,framework
Azure-Samples/digital-twins-explorer,32.333333333333336,,3.0,0.0,3.0,Azure
Azure-Samples/djangoapp,114.0,,1.0,0.0,1.0,Azure
Azure-Samples/docker-django-webapp-linux,1031.0,,1.0,0.0,1.0,Azure
Azure-Samples/dotnetcore-sqldb-tutorial,69.0,,1.0,0.0,1.0,Azure
Azure-Samples/e2e-diagnostic-eventhub-ai-function,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/event-grid-node-publish-consume-events,510.0,,1.0,0.0,1.0,Azure
Azure-Samples/event-grid-python-public-consume-events,6.0,,1.0,0.0,1.0,Azure
Azure-Samples/functions-python-azureml-azurefunctions-deeplearning,9.0,,1.0,0.0,1.0,Azure
Azure-Samples/helm-charts,20.5,,2.0,0.0,2.0,Azure
Azure-Samples/html-docs-hello-world,2.0,,1.0,0.0,1.0,Azure
Azure-Samples/iot-edge-for-iiot,13.0,,3.0,0.0,3.0,Azure
Azure-Samples/iot-edge-opc-plc,0.0,,4.0,0.0,4.0,Azure
Azure-Samples/iot-edge-samples,1.5,,2.0,0.0,2.0,Azure
Azure-Samples/iot-hub-c-raspberrypi-getstartedkit,0.0,,2.0,0.0,2.0,Azure
Azure-Samples/jmeter-aci-terraform,34.333333333333336,,3.0,0.0,3.0,Azure
Azure-Samples/js-e2e-browser-file-upload-storage-blob,295.0,,1.0,0.0,1.0,Azure
Azure-Samples/js-e2e-express-server,103.0,,1.0,0.0,1.0,Azure
Azure-Samples/laravel-tasks,767.0,,1.0,0.0,1.0,Azure
Azure-Samples/media-services-dotnet-functions-integration,445.5,,2.0,0.0,2.0,Azure
Azure-Samples/media-services-javascript-azure-media-player-social-share-plugin,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/media-services-v3-dotnet,325.0,,1.0,0.0,1.0,Azure
Azure-Samples/media-services-v3-java,9.5,,2.0,0.0,2.0,Azure
Azure-Samples/modern-data-warehouse-dataops,18.6,,5.0,0.0,5.0,Azure
Azure-Samples/ms-identity-android-native,11.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-aspnet-webapi-onbehalfof,1.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-aspnet-webapp-openidconnect,15.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-b2c-java-servlet-webapp-authentication,61.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-java-webapi,4.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-angular-tutorial,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-nodejs-desktop,13.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-javascript-react-tutorial,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/ms-identity-python-webapp,2.0,,1.0,0.0,1.0,Azure
Azure-Samples/nodejs-docs-hello-world,76.5,,2.0,0.0,2.0,Azure
Azure-Samples/openhack-devops-proctor,225.5,,6.0,0.0,6.0,Azure
Azure-Samples/openhack-devops-team,63.91111111111111,,45.0,0.0,45.0,Azure
Azure-Samples/php-builtin-linux-web-app,26.0,,1.0,0.0,1.0,Azure
Azure-Samples/php-docs-hello-world,0.6666666666666666,,3.0,0.0,3.0,Azure
Azure-Samples/power-bi-embedded-integrate-report-into-web-app,12.0,,3.0,0.0,3.0,Azure
Azure-Samples/powerbi-powershell,39.0,,1.0,0.0,1.0,Azure
Azure-Samples/python-docs-hello-world,333.1904761904762,,21.0,0.0,21.0,Azure
Azure-Samples/search-dotnet-asp-net-mvc-jobs,889.0,,1.0,0.0,1.0,Azure
Azure-Samples/search-dotnet-getting-started,62.0,,3.0,0.0,3.0,Azure
Azure-Samples/search-java-getting-started,2.0,,1.0,0.0,1.0,Azure
Azure-Samples/serverless-full-stack-apps-azure-sql,73.66666666666667,,3.0,0.0,3.0,Azure
Azure-Samples/serverless-keyvault-secret-rotation-handling,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-publish-subscribe-with-advanced-features,531.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-publish-subscribe-with-basic-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-queue-with-advanced-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-queue-with-basic-features,530.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-bus-dotnet-manage-with-claims-based-authorization,516.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-fabric-dotnet-data-aggregation,540.6666666666666,,3.0,0.0,3.0,Azure
Azure-Samples/service-fabric-dotnet-getting-started,221.57142857142858,,7.0,0.0,7.0,Azure
Azure-Samples/service-fabric-dotnet-iot,251.0,,2.0,0.0,2.0,Azure
Azure-Samples/service-fabric-java-getting-started,13.0,,1.0,0.0,1.0,Azure
Azure-Samples/service-fabric-mesh,18.333333333333332,,3.0,0.0,3.0,Azure
Azure-Samples/smartbulkcopy,1.6666666666666667,,3.0,0.0,3.0,Azure
Azure-Samples/spark-on-aks-benchmark,126.0,,1.0,0.0,1.0,Azure
Azure-Samples/streaming-at-scale,1.0,,1.0,0.0,1.0,Azure
Azure-Samples/virtual-machines-python-scheduled-events-central-logging,0.0,,1.0,0.0,1.0,Azure
Azure-Samples/vue-cosmosdb,0.0,,2.0,0.0,2.0,Azure
Azure-Samples/web-apps-node-iot-hub-data-visualization,146.0,,2.0,0.0,2.0,Azure
