,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
166,Azure,lightfrenzy,,0,0,0,0,0,0,0,0,0,0
167,Azure,eduardkoller,22.0,0,1,0,0,0,1,1,1,0,0
168,Azure,diberry,49.0,0,10,0,0,3,13,10,13,0,912
169,Azure,berndverst,81.0,0,2,0,0,0,2,2,2,0,1
170,Azure,wolfma61,7.0,0,1,0,0,1,2,1,2,0,449
171,Azure,alvadb,,0,0,0,0,0,0,0,0,0,449
172,Azure,t-olhuan,3.0,0,1,0,0,0,1,1,1,0,0
173,Azure,haocs,,0,0,0,0,0,0,0,0,0,0
174,Azure,gladjohn,,0,0,0,0,0,0,0,0,0,0
175,Azure,mcardosos,15.0,0,4,0,0,1,5,4,5,0,235
176,Azure,rban1,,0,0,0,0,0,0,0,0,0,235
177,Azure,brianrandell,31.0,0,2,0,0,0,2,2,2,0,87
178,Azure,idg10,,0,0,0,0,0,0,0,0,0,87
179,Azure,clemensv,211.0,0,1,0,0,0,1,1,1,0,0
180,Azure,jhendrixMSFT,37.0,0,3,0,0,0,3,3,3,0,758
181,Azure,marstr,,0,0,0,0,0,0,0,0,0,758
182,Azure,rapatchi,,0,0,0,0,0,0,0,0,0,758
183,Azure,suhuruli,13.0,0,10,0,0,0,10,10,10,0,347
184,Azure,sayantancs,3.0,0,1,0,0,1,2,1,2,0,259
185,Azure,vishnumane,,0,0,0,0,0,0,0,0,0,259
186,Azure,raunakpandya,3.0,0,1,0,0,0,1,1,1,0,0
187,Azure,PinkySingh,,0,0,0,0,0,0,0,0,0,0
188,Azure,abhishekram,,0,0,0,0,0,0,0,0,0,0
189,Azure,aashiman,1.0,0,1,0,0,0,1,1,1,0,0
190,Azure,roygara,,0,0,0,0,0,0,0,0,0,0
191,Azure,SyntaxC4,201.0,0,4,0,0,1,5,4,5,0,127
192,Azure,hovsepm,,0,0,0,0,0,0,0,0,0,127
193,Azure,jianghaolu,,0,0,0,0,0,0,0,0,0,127
194,Azure,seguler,9.0,0,4,0,0,2,6,4,6,0,299
195,Azure,sptramer,31.0,0,8,0,0,0,8,8,8,0,160
196,Azure,bharath-microsoft,0.0,0,1,0,0,0,1,1,1,0,0
197,Azure,maburlik,2.0,0,4,0,0,0,4,4,4,0,74
198,Azure,deepakjangid-MSFT,,0,0,0,0,0,0,0,0,0,74
199,Azure,hrushib,,0,0,0,0,0,0,0,0,0,74
200,Azure,saveenr,42.0,0,12,0,0,0,12,12,12,0,1416
201,Azure,prashanthyv,2.0,0,1,0,0,0,1,1,1,0,0
202,Azure,balajikris,,0,0,0,0,0,0,0,0,0,0
203,Azure,gandhinath,,0,0,0,0,0,0,0,0,0,0
204,Azure,edhagan,,0,0,0,0,0,0,0,0,0,0
205,Azure,shizn,,0,0,0,0,0,0,0,0,0,0
206,Azure,xscript,13.0,0,13,0,0,0,13,13,13,0,787
207,Azure,yuwzho,27.0,0,6,0,0,0,6,6,6,0,561
208,Azure,yaweiw,6.0,0,1,0,0,0,1,1,1,0,0
209,Azure,xpouyat,30.0,0,10,0,0,2,12,10,12,0,1551
210,Azure,shigeyf,,0,0,0,0,0,0,0,0,0,1551
211,Azure,jihwang0709,,0,0,0,0,0,0,0,0,0,1551
212,Azure,hrasheed-msft,9.0,0,3,0,0,0,3,3,3,0,176
213,Azure,dhgoelmsft,0.0,0,2,0,0,0,2,2,2,0,230
214,Azure,JasonWHowell,34.0,0,2,0,0,0,2,2,2,0,979
215,Azure,rajanikanthr,,0,0,0,0,0,0,0,0,0,979
216,Azure,duggaraju,,0,0,0,0,0,0,0,0,0,979
217,Azure,vinaysurya,1.0,0,2,0,0,0,2,2,2,0,218
218,Azure,MaximRouiller,128.0,0,2,0,0,0,2,2,2,0,0
219,Azure,zivraf,2.0,0,3,0,0,1,4,3,4,0,1
220,Azure,MauricioMolinaMicrosoft,2.0,0,7,0,0,0,7,7,7,0,225
221,Azure,msfussell,,0,0,0,0,0,0,0,0,0,225
222,Azure,v-mankan,,0,0,0,0,0,0,0,0,0,225
223,Azure,v-rakesc,,0,0,0,0,0,0,0,0,0,225
224,Azure,v-payech,,0,0,0,0,0,0,0,0,0,225
225,Azure,v-payc,,0,0,0,0,0,0,0,0,0,225
226,Azure,carlrab,,0,0,0,0,0,0,0,0,0,225
227,Azure,dbradish-microsoft,3.0,0,8,0,0,0,8,8,8,0,562
228,Azure,sdwheeler,125.0,0,8,0,0,0,8,8,8,0,124
229,Azure,erickson-doug,17.0,0,71,0,0,0,71,71,71,0,841
230,Azure,steved0x,,0,0,0,0,0,0,0,0,0,841
231,Azure,sankethka,6.0,0,1,0,0,0,1,1,1,0,0
232,Azure,czeumault,,0,0,0,0,0,0,0,0,0,0
233,Azure,daschult,,0,0,0,0,0,0,0,0,0,0
234,Azure,ZhijunZhao,,0,0,0,0,0,0,0,0,0,0
235,Azure,yungez,,0,0,0,0,0,0,0,0,0,0
236,Azure,SLdragon,69.0,0,4,0,0,0,4,4,4,0,228
237,Azure,SummerSun,,0,0,0,0,0,0,0,0,0,228
238,Azure,moprescu,19.0,0,1,0,0,0,1,1,1,0,0
239,Azure,drwill-ms,16.0,0,14,0,0,2,16,14,16,0,844
240,Azure,ericmitt,12.0,0,5,0,0,0,5,5,5,0,184
241,Azure,wesmc7777,,0,0,0,0,0,0,0,0,0,184
242,Azure,yzhong94,9.0,0,4,0,0,0,4,4,4,0,308
243,Azure,valnav,2.0,0,1,0,0,1,2,1,2,0,34
244,Azure,saraford,,0,0,0,0,0,0,0,0,0,34
245,Azure,WodansSon,,0,0,0,0,0,0,0,0,0,34
246,Azure,JunyiYi,,0,0,0,0,0,0,0,0,0,34
247,Azure,furqanMM,,0,0,0,0,0,0,0,0,0,34
248,Azure,Om83,,0,0,0,0,0,0,0,0,0,34
249,Azure,unpluggedk,,0,0,0,0,0,0,0,0,0,34
250,Azure,rlagh2,15.0,0,9,0,0,1,10,9,10,0,44
251,Azure,ritwik20,2.0,0,5,0,0,0,5,5,5,0,86
252,Azure,tudordid,,0,0,0,0,0,0,0,0,0,86
253,Azure,vDonGlover,4.0,0,1,0,0,0,1,1,1,0,0
254,Azure,xseeseesee,4.0,0,6,0,0,0,6,6,6,0,42
255,Azure,EdPrice-MSFT,,0,0,0,0,0,0,0,0,0,42
256,Azure,michthub,,0,0,0,0,0,0,0,0,0,42
257,Azure,bretthackermsft,34.0,0,1,0,0,0,1,1,1,0,0
258,Azure,ktsakas,,0,0,0,0,0,0,0,0,0,0
259,Azure,umabal,,0,0,0,0,0,0,0,0,0,0
260,Azure,vigunase,,0,0,0,0,0,0,0,0,0,0
261,Azure,schaabs,40.0,0,2,0,0,0,2,2,2,0,31
262,Azure,mipetriu,,0,0,0,0,0,0,0,0,0,31
263,Azure,jasoncoolmax,,0,0,0,0,0,0,0,0,0,31
264,Azure,mahilleb-msft,35.0,0,2,0,0,1,3,2,3,0,325
265,Azure,raaaar,9.0,0,7,0,0,5,12,7,12,0,189
266,Azure,RaviPidaparthi,4.0,0,1,0,0,0,1,1,1,0,0
267,Azure,splusq,8.0,0,1,0,0,0,1,1,1,0,0
268,Azure,radiocom,9.0,0,2,0,0,0,2,2,2,0,0
269,Azure,sameerag,,0,0,0,0,0,0,0,0,0,0
270,Azure,mmacy,24.0,0,9,0,0,0,9,9,9,0,1208
271,Azure,negoe,,0,0,0,0,0,0,0,0,0,1208
272,Azure,omkarmore83,,0,0,0,0,0,0,0,0,0,1208
273,Azure,yaronyg,,0,0,0,0,0,0,0,0,0,1208
274,Azure,LuisBosquez,82.0,0,12,0,0,2,14,12,14,0,947
275,Azure,sivethe,,0,0,0,0,0,0,0,0,0,947
276,Azure,deborahc,51.0,0,3,0,0,0,3,3,3,0,153
277,Azure,Shama-K,,0,0,0,0,0,0,0,0,0,153
278,Azure,michaeljqzq,7.0,0,5,0,0,1,6,5,6,0,293
279,Azure,guanyu-240,,0,0,0,0,0,0,0,0,0,293
280,Azure,pkanher617,,0,0,0,0,0,0,0,0,0,293
281,Azure,KevinBlasko,0.0,0,1,0,0,0,1,1,1,0,0
282,Azure,gucalder,,0,0,0,0,0,0,0,0,0,0
283,Azure,nzthiago,95.0,0,10,0,0,0,10,10,10,0,802
284,Azure,milismsft,,0,0,0,0,0,0,0,0,0,802
285,Azure,neilpeterson,105.0,0,5,0,0,5,10,5,10,0,579
286,Azure,guyinacube,292.0,0,2,0,0,1,3,2,3,0,112
287,Azure,sirui-sun,,0,0,0,0,0,0,0,0,0,112
288,Azure,rwike77,21.0,0,1,0,0,0,1,1,1,0,0
289,Azure,tiffanyachen,,0,0,0,0,0,0,0,0,0,0
290,Azure,fhokholdMSFT,,0,0,0,0,0,0,0,0,0,0
291,Azure,karataliu,,0,0,0,0,0,0,0,0,0,0
292,Azure,peterpogorski,17.0,0,5,0,0,0,5,5,5,0,261
293,Azure,ailn,,0,0,0,0,0,0,0,0,0,261
294,Azure,zr-msft,5.0,0,1,0,0,2,3,1,3,0,13
295,Azure,iainfoulds,43.0,0,1,0,0,0,1,1,1,0,0
296,Azure,efficienthacks,2.0,0,1,0,0,0,1,1,1,0,0
297,Azure,richardjortega,27.0,0,2,0,0,0,2,2,2,0,1
298,Azure,Prozac777,1.0,0,1,0,0,0,1,1,1,0,0
299,Azure,smichelotti,175.0,0,2,0,0,0,2,2,2,0,677
300,Azure,SunBuild,30.0,0,5,0,0,1,6,5,6,0,53
301,Azure,v-royhar,,0,0,0,0,0,0,0,0,0,53
302,Azure,clarkio,802.0,0,1,0,0,0,1,1,1,0,0
303,Azure,veronicagg,,0,0,0,0,0,0,0,0,0,0
304,Azure,lenala,,0,0,0,0,0,0,0,0,0,0
305,Azure,TsuyoshiUshio,101.0,0,7,0,0,0,7,7,7,0,449
306,Azure,christopheranderson,231.0,0,1,0,0,0,1,1,1,0,0
307,Azure,jeffhollan,574.0,0,8,0,0,0,8,8,8,0,1300
308,Azure,banisadr,14.0,0,2,0,0,0,2,2,2,0,89
309,Azure,nonik0,3.0,0,2,0,0,0,2,2,2,0,0
310,Azure,varunsh-coder,13.0,0,2,0,0,0,2,2,2,0,0
311,Azure,linya9191,8.0,0,15,0,0,1,16,15,16,0,154
312,Azure,rastala,,0,0,0,0,0,0,0,0,0,154
313,Azure,daden-ms,8.0,0,0,0,0,2,2,0,2,0,154
314,Azure,hning86,30.0,0,9,0,0,0,9,9,9,0,234
315,Azure,mezmicrosoft,,0,0,0,0,0,0,0,0,0,234
316,Azure,ehrlinger,41.0,0,2,0,0,1,3,2,3,0,38
317,Azure,jaymathe,,0,0,0,0,0,0,0,0,0,38
318,Azure,pechyony,,0,0,0,0,0,0,0,0,0,38
319,Azure,xibingaomsft,,0,0,0,0,0,0,0,0,0,38
320,Azure,mohabdel2013,5.0,0,1,0,0,0,1,1,1,0,0
321,Azure,mithun-prasad,56.0,0,3,0,0,0,3,3,3,0,0
322,Azure,kojiwms,0.0,0,3,0,0,0,3,3,3,0,275
323,Azure,overbrimming,,0,0,0,0,0,0,0,0,0,275
324,Azure,gokhanuluderya-msft,,0,0,0,0,0,0,0,0,0,275
325,Azure,philon-msft,8.0,0,1,0,0,0,1,1,1,0,0
326,Azure,brendanzagaeski,,0,0,0,0,0,0,0,0,0,0
327,Azure,warrenzhu25,12.0,0,1,0,0,0,1,1,1,0,0
328,Azure,ArcturusZhang,43.0,0,13,0,0,0,13,13,13,0,294
329,Azure,Alancere,3.0,0,0,0,0,1,1,0,1,0,294
330,Azure,mybayern1974,,0,0,0,0,0,0,0,0,0,294
331,Azure,vladbarosan,6.0,0,4,0,0,0,4,4,4,0,184
332,Azure,joshgav,128.0,0,0,0,0,2,2,0,2,0,184
333,Azure,yangyuan,118.0,0,28,0,0,1,29,28,29,0,577
334,Azure,sudhansu88,0.0,0,13,0,0,0,13,13,13,0,230
335,Azure,kirthik,,0,0,0,0,0,0,0,0,0,230
336,Azure,areddish,,0,0,0,0,0,0,0,0,0,230
337,Azure,DavidLiCIG,13.0,0,7,0,0,0,7,7,7,0,145
338,Azure,stefanvalianu,,0,0,0,0,0,0,0,0,0,145
339,Azure,IanB111,,0,0,0,0,0,0,0,0,0,145
340,Azure,ashika789,4.0,0,1,0,0,1,2,1,2,0,64
341,Azure,chasat-ms,2.0,0,2,0,0,0,2,2,2,0,0
342,Azure,yeskarthik,,0,0,0,0,0,0,0,0,0,0
343,Azure,Sandip-Raiyani,,0,0,0,0,0,0,0,0,0,0
344,Azure,dmdenmsft,,0,0,0,0,0,0,0,0,0,0
345,Azure,ankryach,,0,0,0,0,0,0,0,0,0,0
346,Azure,kanshiG,,0,0,0,0,0,0,0,0,0,0
347,Azure,kansrini,,0,0,0,0,0,0,0,0,0,0
348,Azure,aahill,187.0,0,10,0,0,1,11,10,11,0,946
349,Azure,v-jaswel,5.0,0,8,0,0,2,10,8,10,0,156
350,Azure,wiazur,8.0,0,22,0,0,8,30,22,30,0,468
351,Azure,assafi,,0,0,0,0,0,0,0,0,0,468
352,Azure,erhopf,13.0,0,8,0,0,0,8,8,8,0,301
353,Azure,kpajdzik,7.0,0,2,0,0,0,2,2,2,0,231
354,Azure,williexu,,0,0,0,0,0,0,0,0,0,231
355,Azure,weidongxu-microsoft,,0,0,0,0,0,0,0,0,0,231
356,Azure,PatrickFarley,35.0,0,11,0,0,0,11,11,11,0,472
357,Azure,olduroja,0.0,0,3,0,0,0,3,3,3,0,161
358,Azure,iscai-msft,,0,0,0,0,0,0,0,0,0,161
359,Azure,FrancescaLazzeri,,0,0,0,0,0,0,0,0,0,161
360,Azure,shonohs,3.0,0,4,0,0,0,4,4,4,0,55
361,Azure,craftyhouse,,0,0,0,0,0,0,0,0,0,55
362,Azure,anantshankar17,1.0,0,7,0,0,0,7,7,7,0,821
