sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/azure-cosmosdb-bulkingestion,165.0,165.0,1.0,5.0,1.0,0.0,Azure,83.33333333333334,16.666666666666664,100.0,0.0
Azure-Samples/azure-cosmosdb-graph-bulkexecutor-dotnet-getting-started,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmosdb-java-pagination,163.0,163.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-cosmosdb-jsonldconversion,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-cosmosdb-live-data-migrator,12.0,12.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/azure-cosmosdb-springboot-pagination,0.0,0.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-event-grid-viewer,2.3333333333333335,0.0,3.0,1.0,2.0,1.0,Azure,25.0,75.0,66.66666666666666,33.33333333333333
Azure-Samples/azure-farmbeats-samples,3.5,3.3333333333333335,4.0,0.0,3.0,1.0,Azure,0.0,100.0,75.0,25.0
Azure-Samples/azure-files-samples,33.0,33.0,8.0,6.0,8.0,0.0,Azure,42.857142857142854,57.14285714285714,100.0,0.0
Azure-Samples/azure-functions-event-grid-terraform,1.0,1.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-functions-python-list-resource-groups,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-functions-pytorch-image-identify,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-functions-samples-java,18.5,6.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/azure-functions-tests,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-functions-unit-testing-mocha,0.0,0.0,1.0,3.0,1.0,0.0,Azure,75.0,25.0,100.0,0.0
Azure-Samples/azure-intelligent-edge-patterns,8.126373626373626,6.823863636363637,182.0,48.0,176.0,6.0,Azure,20.869565217391305,79.13043478260869,96.7032967032967,3.296703296703297
Azure-Samples/azure-iot-central-arm-sdk-samples,1.1428571428571428,1.1428571428571428,7.0,1.0,7.0,0.0,Azure,12.5,87.5,100.0,0.0
Azure-Samples/azure-iot-edge-devops-sample-dotnet,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-iot-edge-devops-sample-java,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-iot-edge-devops-sample-node,,,0.0,2.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-iot-edge-identity-translation-lite,37.0,37.0,4.0,1.0,4.0,0.0,Azure,20.0,80.0,100.0,0.0
Azure-Samples/azure-iot-hub-large-twin-example,43.625,43.625,8.0,0.0,8.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-iot-samples-csharp,93.53846153846153,8.222222222222221,13.0,0.0,9.0,4.0,Azure,0.0,100.0,69.23076923076923,30.76923076923077
Azure-Samples/azure-iot-samples-ios,0.25,0.25,4.0,0.0,4.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-iot-samples-java,12.0,12.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-iot-samples-node,143.5,143.5,2.0,2.0,2.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-iot-samples-python,16.5,16.5,4.0,2.0,4.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/azure-iot-starter-kits,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-iotedge-blobstorage-sample,47.0,47.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-javascript-labs,0.0,0.0,1.0,2.0,1.0,0.0,Azure,66.66666666666666,33.33333333333333,100.0,0.0
Azure-Samples/azure-logic-apps-deployment-samples,140.0,140.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-logic-apps-pipeline-orchestration,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-maps-fullscreen-control,108.0,108.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
